"Campaign name",Ads,"Delivery status","Delivery level","Result type",Results,"Cost per result","Amount spent (INR)",Impressions,Reach,"Attribution setting","Ad set name","CTR (link click-through rate)","CPC (cost per link click)","Outbound CTR (click-through rate)","hook rate","hold rate","Video plays at 100%","Reporting starts","Reporting ends"
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad",inactive,campaign,,,,0.15,3,3,"7-day click or 1-day view",,,,,0.66666667,0.33333333,,2026-02-09,2026-02-15
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad",inactive,campaign,,,,0.51,9,9,"7-day click or 1-day view",,,,,0.44444444,0,,2026-02-09,2026-02-15
MULTICAST,mixed,active,campaign,,,,5.66,71,71,"7-day click or 1-day view",,,,,0.38028169,0.05633803,3,2026-02-09,2026-02-15
"RAGHAV FOUNDER LED","New Engagement Ad; New Engagement Ad - Copy;",active,campaign,,,,3.66,29,29,"7-day click or 1-day view",,,,,0.37931034,0.17241379,2,2026-02-09,2026-02-15
MULTICAST,s&f,active,campaign,,,,0.92,11,11,"7-day click or 1-day view",,,,,0.36363636,0.18181818,1,2026-02-09,2026-02-15
MULTICAST,"pfh 2",active,campaign,"Messaging conversations started",21,7.49952381,157.49,2308,2148,"7-day click or 1-day view",,1.3864818,4.9215625,0.90987868,0.32105719,0.10051993,171,2026-02-09,2026-02-15
MULTICAST,"ethnic vid",active,campaign,"Messaging conversations started",527,7.72677419,4072.01,55599,45653,"7-day click or 1-day view",,1.47304808,4.97192918,0.95145596,0.30739762,0.0837605,2969,2026-02-09,2026-02-15
MULTICAST,"alankriti 2",active,campaign,"Messaging conversations started",11,11.85363636,130.39,1689,1604,"7-day click or 1-day view",,1.65778567,4.65678571,1.06571936,0.30550622,0.09828301,108,2026-02-09,2026-02-15
MULTICAST,adib,active,campaign,"Messaging conversations started",7,15.58285714,109.08,1464,1347,"7-day click or 1-day view",,1.36612022,5.454,0.68306011,0.29986339,0.09084699,70,2026-02-09,2026-02-15
"Partner App download campaign",gujarati,active,campaign,"Mobile app installs",83,19.2260241,1595.76,22460,14154,"1-day click, 1-day view, or 1-day engaged-view",,1.16206589,6.11402299,1.15761354,0.29100623,0.07275156,980,2026-02-09,2026-02-15
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad",inactive,campaign,,,,0.55,7,7,"7-day click or 1-day view",,,,,0.28571429,0.14285714,,2026-02-09,2026-02-15
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad - Copy",inactive,campaign,"Messaging conversations started",1,40.68,40.68,243,213,"7-day click or 1-day view",,1.2345679,13.56,0.82304527,0.28395062,0.0617284,6,2026-02-09,2026-02-15
"RAGHAV FOUNDER LED","New Engagement Ad - Copy 2",active,campaign,"Messaging conversations started",33,22.75666667,750.97,5209,4408,"7-day click or 1-day view",,1.03666731,13.90685185,0.47993857,0.27510079,0.0789019,115,2026-02-09,2026-02-15
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad - Copy",inactive,campaign,"Messaging conversations started",1,86.87,86.87,721,589,"7-day click or 1-day view",,0.55478502,21.7175,0.27739251,0.27184466,0.06102635,19,2026-02-09,2026-02-15
"RAGHAV FOUNDER LED","New Engagement Ad - Copy 4",active,campaign,"Messaging conversations started",101,25.56079208,2581.64,22332,19356,"7-day click or 1-day view",,0.8642307,13.37637306,0.6045137,0.26312019,0.07795988,374,2026-02-09,2026-02-15
"RAGHAV FOUNDER LED","New Engagement Ad - Copy",active,campaign,"Messaging conversations started",27,20.07296296,541.97,4462,3698,"7-day click or 1-day view",,0.98610489,12.3175,0.38099507,0.25862842,0.07978485,115,2026-02-09,2026-02-15
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad - Copy",inactive,campaign,"Messaging conversations started",9,20.51333333,184.62,1884,1695,"7-day click or 1-day view",,0.74309979,13.18714286,0.74309979,0.25690021,0.06740977,83,2026-02-09,2026-02-15
"RAGHAV FOUNDER LED","New Engagement Ad - Copy 3",active,campaign,"Messaging conversations started",20,18.5775,371.55,4021,3236,"7-day click or 1-day view",,0.94503855,9.77763158,0.47251927,0.24098483,0.06714748,140,2026-02-09,2026-02-15
"Partner App download campaign",bengali,active,campaign,"Mobile app installs",50,19.5736,978.68,15355,9163,"1-day click, 1-day view, or 1-day engaged-view",,1.00944318,6.31406452,1.00293064,0.24011723,0.05587756,410,2026-02-09,2026-02-15
"Partner App download campaign",marathi,active,campaign,"Mobile app installs",5,46.996,234.98,3698,3118,"1-day click, 1-day view, or 1-day engaged-view",,0.45970795,13.82235294,0.45970795,0.23391022,0.03515414,74,2026-02-09,2026-02-15
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad - Copy",inactive,campaign,"Messaging conversations started",24,22.15458333,531.71,6753,5454,"7-day click or 1-day view",,0.60713757,12.96853659,0.01480823,0.22937954,0.04901525,154,2026-02-09,2026-02-15
"webinar 12th feb","New Sales Ad - Copy",inactive,campaign,form_submit,1,186.59,186.59,1227,1173,"7-day click, 1-day view, or 1-day engaged-view",,3.83048085,3.97,3.83048085,0.22575387,0.06845966,25,2026-02-09,2026-02-15
"RAGHAV FOUNDER LED","New Engagement Ad - Copy 2",active,campaign,"Messaging conversations started",59,28.11355932,1658.7,12595,9854,"7-day click or 1-day view",,0.82572449,15.94903846,0.38110361,0.22302501,0.06026201,293,2026-02-09,2026-02-15
"webinar mastery","New Engagement Ad - Copy",inactive,campaign,"Messaging conversations started",5,17.48,87.4,358,349,"7-day click or 1-day view",,1.67597765,14.56666667,0.83798883,0.2150838,0.08100559,15,2026-02-09,2026-02-15
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad - Copy",inactive,campaign,"Messaging conversations started",11,33.01727273,363.19,3099,2614,"7-day click or 1-day view",,0.7421749,15.79086957,0.25814779,0.21006776,0.04904808,103,2026-02-09,2026-02-15
"RAGHAV FOUNDER LED","New Engagement Ad - Copy",active,campaign,"Messaging conversations started",1,134.57,134.57,799,778,"7-day click or 1-day view",,0.12515645,134.57,,0.20275344,0.06007509,22,2026-02-09,2026-02-15
"webinar 12th feb","New Sales Ad",inactive,campaign,form_submit,1,1345.55,1345.55,10656,7941,"7-day click, 1-day view, or 1-day engaged-view",,1.75487988,7.19545455,1.72672673,0.18111862,0.05274024,209,2026-02-09,2026-02-15
"webinar 12th feb - targeted","New Sales Ad",active,campaign,form_submit,2,697.755,1395.51,13768,11931,"7-day click, 1-day view, or 1-day engaged-view",,3.86403254,2.6231391,3.81319001,0.1272516,0.03275712,154,2026-02-09,2026-02-15
"webinar 12th feb - targeted","New Sales Ad - Copy",active,campaign,,,,123.15,1397,1275,"7-day click, 1-day view, or 1-day engaged-view",,1.07372942,8.21,1.07372942,0.11811024,0.02576951,13,2026-02-09,2026-02-15
"webinar mastery","New Engagement Ad",inactive,campaign,"Messaging conversations started",84,7.93154762,666.25,524331,524331,"7-day click or 1-day view",,0.08487005,1.49719101,0.00324223,0.11075828,0.03744009,118,2026-02-09,2026-02-15
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad",inactive,campaign,,,,4.71,56,53,"7-day click or 1-day view",,,,,0.10714286,0,,2026-02-09,2026-02-15
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad",inactive,campaign,,,,0.12,1,1,"7-day click or 1-day view",,,,,0,0,,2026-02-09,2026-02-15
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad",inactive,campaign,,,,0.12,2,2,"7-day click or 1-day view",,,,,0,0,,2026-02-09,2026-02-15
"TRANSLATED TESTIMONIALS - Copy","New Engagement Ad - Copy",inactive,campaign,,,,0.47,1,1,"7-day click or 1-day view",,,,,0,0,,2026-02-09,2026-02-15
